gr,breidd,lengd,name,gid6,gid1,allyear
2,631170,242585,Suðvestur af Reykjanesi,TRUE,FALSE,TRUE
2,630900,242400,Suðvestur af Reykjanesi,TRUE,FALSE,TRUE
2,630600,242570,Suðvestur af Reykjanesi,TRUE,FALSE,TRUE
2,630300,243200,Suðvestur af Reykjanesi,TRUE,FALSE,TRUE
2,630140,243800,Suðvestur af Reykjanesi,TRUE,FALSE,TRUE
2,630100,243780,Suðvestur af Reykjanesi,TRUE,FALSE,TRUE
2,625870,244470,Suðvestur af Reykjanesi,TRUE,FALSE,TRUE
2,630336,245551,Suðvestur af Reykjanesi,TRUE,FALSE,TRUE
3,653600,263500,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,652900,264600,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,643800,264600,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,643800,264000,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,640050,260766,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,635300,261300,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,635000,260900,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,635000,254000,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,635300,250700,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,633800,254500,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,632677,252325,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,632195,253965,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,632400,254500,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,633500,260600,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,634500,261700,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,635300,263200,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,642500,265800,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,645500,271400,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,652600,271600,Fyrir Vesturlandi,TRUE,FALSE,TRUE
3,653600,265500,Fyrir Vesturlandi,TRUE,FALSE,TRUE
4,664530,214500,Norðaustur af Horni,TRUE,FALSE,TRUE
4,670295,214500,Norðaustur af Horni,TRUE,FALSE,TRUE
4,670650,204850,Norðaustur af Horni,TRUE,FALSE,TRUE
4,670400,204200,Norðaustur af Horni,TRUE,FALSE,TRUE
4,665000,205617,Norðaustur af Horni,TRUE,FALSE,TRUE
4,665000,210848,Norðaustur af Horni,TRUE,FALSE,TRUE
4,663987,211901,Norðaustur af Horni,TRUE,FALSE,TRUE
5,665180,155275,Fyrir Norðausturlandi,TRUE,TRUE,TRUE
5,664120,141420,Fyrir Norðausturlandi,TRUE,TRUE,TRUE
5,664000,140745,Fyrir Norðausturlandi,TRUE,TRUE,TRUE
5,663685,135660,Fyrir Norðausturlandi,TRUE,TRUE,TRUE
5,663110,141100,Fyrir Norðausturlandi,TRUE,TRUE,TRUE
5,663230,141445,Fyrir Norðausturlandi,TRUE,TRUE,TRUE
5,663310,141770,Fyrir Norðausturlandi,TRUE,TRUE,TRUE
5,663670,144880,Fyrir Norðausturlandi,TRUE,TRUE,TRUE
5,664110,152900,Fyrir Norðausturlandi,TRUE,TRUE,TRUE
5,664380,155610,Fyrir Norðausturlandi,TRUE,TRUE,TRUE
6,663639,135727,Á Langanesgrunni,TRUE,TRUE,TRUE
6,664053,134716,Á Langanesgrunni,TRUE,TRUE,TRUE
6,663771,133758,Á Langanesgrunni,TRUE,TRUE,TRUE
6,663181,134241,Á Langanesgrunni,TRUE,TRUE,TRUE
6,662929,133941,Á Langanesgrunni,TRUE,TRUE,TRUE
6,663828,131060,Á Langanesgrunni,TRUE,TRUE,TRUE
6,664828,132879,Á Langanesgrunni,TRUE,TRUE,TRUE
6,664829,134764,Á Langanesgrunni,TRUE,TRUE,TRUE
6,665507,140134,Á Langanesgrunni,TRUE,TRUE,TRUE
6,664000,141500,Á Langanesgrunni,TRUE,TRUE,TRUE
