gr, breidd, lengd,
2,641000,220000,
2,641000,220320,
2,640950,220550,
2,640850,220670,
2,640860,220850,
2,640800,221000,
2,640700,221200,
2,640250,220700,
3,641540,215150,
3,641300,220200,
3,641750,220900,
3,641900,215500,
4,642200,221400,
4,642200,220500,
4,641700,220700,
4,641700,221600,
5,644400,233900,
5,644000,225200,
5,643400,225600,
5,643000,222800,
5,644600,222400,
5,644900,233300,
6,645700,232900,
6,650100,231000,
6,650900,231600,
6,650650,232400,
6,650400,232300,
7,650700,231450,
7,651300,225300,
7,651600,225700,
7,651100,231700,
8,653020,243210,
8,652490,235714,
8,651500,231700,
8,651050,233250,
8,651250,233600,
8,651138,234790,
8,651000,235600,
8,652000,241650,
8,652000,243100,
8,652300,244400,
8.1,653000,241400,
8.1,652200,241900,
8.1,652000,242120,
9,653020,243210,
9,652660,243790,
9,651700,234700,
9,652500,234229,
10,661400,234900,
10,661650,234000,
10,661550,233000,
10,661050,231300,
10,660950,231500,
10,660700,233900,
11,655980,211900,
11,660100,211260,
11,661200,211560,
11,661400,211710,
11,661450,215535,
12,654830,205030,
12,654500,205100,
12,654500,204800,
12,654830,204720,
13,660800,202950,
13,660800,201600,
13,660620,201600,
13,660400,202500,
13,660400,202820,
14,660700,190500,
14,660700,193400,
14,661400,192600,
14,661400,191300,
14,661100,185800,
15,660500,181800,
15,660500,182100,
15,660900,182100,
15,661250,181850,
15,661050,180650,
15,661100,175050,
15,660800,175000,
15,660750,175700,
15,661000,181700,
16,662520,152375,
16,662550,151350,
16,662230,151325,
16,662100,150650,
16,662450,145470,
16,662350,145170,
16,660550,152400,
16,661100,153000,
16,662000,151900,
17,653300,134050,
17,653300,133890,
17,653170,133500,
17,652300,133500,
17,652155,133910,
17,652160,134260,
18,645500,134600,
18,645400,133600,
18,644010,135734,
18,644100,141000,
18,644200,141300,
